Date,state,number_of_flights,number_of_new_cases
2020-01-01,Alaska,92,0
2020-01-01,Alabama,88,0
2020-01-01,Arkansas,71,0
2020-01-01,Arizona,600,0
2020-01-01,California,2370,0
2020-01-01,Colorado,927,0
2020-01-01,Connecticut,66,0
2020-01-01,Florida,1706,0
2020-01-01,Georgia,865,0
2020-01-01,Hawaii,383,0
2020-01-01,Iowa,75,0
2020-01-01,Idaho,94,0
2020-01-01,Illinois,1208,0
2020-01-01,Indiana,147,0
2020-01-01,Kansas,40,0
2020-01-01,Kentucky,170,0
2020-01-01,Louisiana,216,0
2020-01-01,Massachusetts,340,0
2020-01-01,Maryland,257,0
2020-01-01,Maine,33,0
2020-01-01,Michigan,452,0
2020-01-01,Minnesota,343,0
2020-01-01,Missouri,342,0
2020-01-01,Mississippi,35,0
2020-01-01,Montana,92,0
2020-01-01,North Carolina,897,0
2020-01-01,North Dakota,49,0
2020-01-01,Nebraska,74,0
2020-01-01,New Hampshire,20,0
2020-01-01,New Jersey,421,0
2020-01-01,New Mexico,83,0
2020-01-01,Nevada,492,0
2020-01-01,New York,847,0
2020-01-01,Ohio,271,0
2020-01-01,Oklahoma,111,0
2020-01-01,Oregon,299,0
2020-01-01,Pennsylvania,516,0
2020-01-01,Puerto Rico,104,0
2020-01-01,Rhode Island,35,0
2020-01-01,South Carolina,152,0
2020-01-01,South Dakota,40,0
2020-01-01,Tennessee,324,0
2020-01-01,Pacific Trust Territories and Possessions,3,0
2020-01-01,Texas,2118,0
2020-01-01,Utah,309,0
2020-01-01,Virginia,648,0
2020-01-01,Virgin Islands,16,0
2020-01-01,Vermont,26,0
2020-01-01,Washington,608,0
2020-01-01,Wisconsin,158,0
2020-01-01,West Virginia,15,0
2020-01-01,Wyoming,34,0
2020-01-02,Alaska,102,0
2020-01-02,Alabama,106,0
2020-01-02,Arkansas,88,0
2020-01-02,Arizona,647,0
2020-01-02,California,2503,0
2020-01-02,Colorado,978,0
2020-01-02,Connecticut,78,0
2020-01-02,Florida,1954,0
2020-01-02,Georgia,1091,0
2020-01-02,Hawaii,392,0
2020-01-02,Iowa,92,0
2020-01-02,Idaho,106,0
2020-01-02,Illinois,1357,0
2020-01-02,Indiana,200,0
2020-01-02,Kansas,46,0
2020-01-02,Kentucky,236,0
2020-01-02,Louisiana,235,0
2020-01-02,Massachusetts,392,0
2020-01-02,Maryland,307,0
2020-01-02,Maine,44,0
2020-01-02,Michigan,582,0
2020-01-02,Minnesota,428,0
2020-01-02,Missouri,383,0
2020-01-02,Mississippi,42,0
2020-01-02,Montana,100,0
2020-01-02,North Carolina,1058,0
2020-01-02,North Dakota,63,0
2020-01-02,Nebraska,93,0
2020-01-02,New Hampshire,27,0
2020-01-02,New Jersey,460,0
2020-01-02,New Mexico,90,0
2020-01-02,Nevada,528,0
2020-01-02,New York,1035,0
2020-01-02,Ohio,343,0
2020-01-02,Oklahoma,129,0
2020-01-02,Oregon,317,0
2020-01-02,Pennsylvania,623,0
2020-01-02,Puerto Rico,105,0
2020-01-02,Rhode Island,52,0
2020-01-02,South Carolina,184,0
2020-01-02,South Dakota,47,0
2020-01-02,Tennessee,393,0
2020-01-02,Pacific Trust Territories and Possessions,6,0
2020-01-02,Texas,2269,0
2020-01-02,Utah,361,0
2020-01-02,Virginia,831,0
2020-01-02,Virgin Islands,19,0
2020-01-02,Vermont,31,0
2020-01-02,Washington,665,0
2020-01-02,Wisconsin,190,0
2020-01-02,West Virginia,21,0
2020-01-02,Wyoming,38,0
2020-01-03,Alaska,104,0
2020-01-03,Alabama,108,0
2020-01-03,Arkansas,83,0
2020-01-03,Arizona,642,0
2020-01-03,California,2513,0
2020-01-03,Colorado,968,0
2020-01-03,Connecticut,78,0
2020-01-03,Florida,1960,0
2020-01-03,Georgia,1088,0
2020-01-03,Hawaii,397,0
2020-01-03,Iowa,92,0
2020-01-03,Idaho,105,0
2020-01-03,Illinois,1359,0
2020-01-03,Indiana,202,0
2020-01-03,Kansas,52,0
2020-01-03,Kentucky,235,0
2020-01-03,Louisiana,234,0
2020-01-03,Massachusetts,391,0
2020-01-03,Maryland,310,0
2020-01-03,Maine,45,0
2020-01-03,Michigan,588,0
2020-01-03,Minnesota,432,0
2020-01-03,Missouri,382,0
2020-01-03,Mississippi,42,0
2020-01-03,Montana,98,0
2020-01-03,North Carolina,1066,0
2020-01-03,North Dakota,59,0
2020-01-03,Nebraska,94,0
2020-01-03,New Hampshire,29,0
2020-01-03,New Jersey,461,0
2020-01-03,New Mexico,90,0
2020-01-03,Nevada,535,0
2020-01-03,New York,1032,0
2020-01-03,Ohio,336,0
2020-01-03,Oklahoma,127,0
2020-01-03,Oregon,317,0
2020-01-03,Pennsylvania,623,0
2020-01-03,Puerto Rico,105,0
2020-01-03,Rhode Island,51,0
2020-01-03,South Carolina,179,0
2020-01-03,South Dakota,48,0
2020-01-03,Tennessee,390,0
2020-01-03,Pacific Trust Territories and Possessions,3,0
2020-01-03,Texas,2270,0
2020-01-03,Utah,363,0
2020-01-03,Virginia,829,0
2020-01-03,Virgin Islands,17,0
2020-01-03,Vermont,32,0
2020-01-03,Washington,662,0
2020-01-03,Wisconsin,188,0
2020-01-03,West Virginia,23,0
2020-01-03,Wyoming,38,0
2020-01-04,Alaska,93,0
2020-01-04,Alabama,92,0
2020-01-04,Arkansas,76,0
2020-01-04,Arizona,603,0
2020-01-04,California,2149,0
2020-01-04,Colorado,879,0
2020-01-04,Connecticut,69,0
2020-01-04,Florida,1888,0
2020-01-04,Georgia,909,0
2020-01-04,Hawaii,385,0
2020-01-04,Iowa,83,0
2020-01-04,Idaho,95,0
2020-01-04,Illinois,1226,0
2020-01-04,Indiana,173,0
2020-01-04,Kansas,46,0
2020-01-04,Kentucky,203,0
2020-01-04,Louisiana,205,0
2020-01-04,Massachusetts,314,0
2020-01-04,Maryland,233,0
2020-01-04,Maine,47,0
2020-01-04,Michigan,486,0
2020-01-04,Minnesota,342,0
2020-01-04,Missouri,282,0
2020-01-04,Mississippi,41,0
2020-01-04,Montana,93,0
2020-01-04,North Carolina,973,0
2020-01-04,North Dakota,53,0
2020-01-04,Nebraska,81,0
2020-01-04,New Hampshire,26,0
2020-01-04,New Jersey,422,0
2020-01-04,New Mexico,73,0
2020-01-04,Nevada,484,0
2020-01-04,New York,864,0
2020-01-04,Ohio,290,0
2020-01-04,Oklahoma,108,0
2020-01-04,Oregon,287,0
2020-01-04,Pennsylvania,566,0
2020-01-04,Puerto Rico,110,0
2020-01-04,Rhode Island,45,0
2020-01-04,South Carolina,161,0
2020-01-04,South Dakota,41,0
2020-01-04,Tennessee,318,0
2020-01-04,Pacific Trust Territories and Possessions,5,0
2020-01-04,Texas,2031,0
2020-01-04,Utah,321,0
2020-01-04,Virginia,726,0
2020-01-04,Virgin Islands,23,0
2020-01-04,Vermont,31,0
2020-01-04,Washington,602,0
2020-01-04,Wisconsin,164,0
2020-01-04,West Virginia,22,0
2020-01-04,Wyoming,41,0
2020-01-05,Alaska,98,0
2020-01-05,Alabama,108,0
2020-01-05,Arkansas,91,0
2020-01-05,Arizona,656,0
2020-01-05,California,2440,0
2020-01-05,Colorado,959,0
2020-01-05,Connecticut,78,0
2020-01-05,Florida,1935,0
2020-01-05,Georgia,1137,0
2020-01-05,Hawaii,396,0
2020-01-05,Iowa,92,0
2020-01-05,Idaho,99,0
2020-01-05,Illinois,1335,0
2020-01-05,Indiana,202,0
2020-01-05,Kansas,49,0
2020-01-05,Kentucky,236,0
2020-01-05,Louisiana,249,0
2020-01-05,Massachusetts,380,0
2020-01-05,Maryland,284,0
2020-01-05,Maine,43,0
2020-01-05,Michigan,575,0
2020-01-05,Minnesota,434,0
2020-01-05,Missouri,395,0
