Date,Name,number_of_flights
2020-01-01,Alaska,92
2020-01-01,Alabama,88
2020-01-01,Arkansas,71
2020-01-01,Arizona,600
2020-01-01,California,2370
2020-01-01,Colorado,927
2020-01-01,Connecticut,66
2020-01-01,Florida,1706
2020-01-01,Georgia,865
2020-01-01,Hawaii,383
2020-01-01,Iowa,75
2020-01-01,Idaho,94
2020-01-01,Illinois,1208
2020-01-01,Indiana,147
2020-01-01,Kansas,40
2020-01-01,Kentucky,170
2020-01-01,Louisiana,216
2020-01-01,Massachusetts,340
2020-01-01,Maryland,257
2020-01-01,Maine,33
2020-01-01,Michigan,452
2020-01-01,Minnesota,343
2020-01-01,Missouri,342
2020-01-01,Mississippi,35
2020-01-01,Montana,92
2020-01-01,North Carolina,897
2020-01-01,North Dakota,49
2020-01-01,Nebraska,74
2020-01-01,New Hampshire,20
2020-01-01,New Jersey,421
2020-01-01,New Mexico,83
2020-01-01,Nevada,492
2020-01-01,New York,847
2020-01-01,Ohio,271
2020-01-01,Oklahoma,111
2020-01-01,Oregon,299
2020-01-01,Pennsylvania,516
2020-01-01,Puerto Rico,104
2020-01-01,Rhode Island,35
2020-01-01,South Carolina,152
2020-01-01,South Dakota,40
2020-01-01,Tennessee,324
2020-01-01,Pacific Trust Territories and Possessions,3
2020-01-01,Texas,2118
2020-01-01,Utah,309
2020-01-01,Virginia,648
2020-01-01,Virgin Islands,16
2020-01-01,Vermont,26
2020-01-01,Washington,608
2020-01-01,Wisconsin,158
2020-01-01,West Virginia,15
2020-01-01,Wyoming,34
2020-01-02,Alaska,102
2020-01-02,Alabama,106
2020-01-02,Arkansas,88
2020-01-02,Arizona,647
2020-01-02,California,2503
2020-01-02,Colorado,978
2020-01-02,Connecticut,78
2020-01-02,Florida,1954
2020-01-02,Georgia,1091
2020-01-02,Hawaii,392
2020-01-02,Iowa,92
2020-01-02,Idaho,106
2020-01-02,Illinois,1357
2020-01-02,Indiana,200
2020-01-02,Kansas,46
2020-01-02,Kentucky,236
2020-01-02,Louisiana,235
2020-01-02,Massachusetts,392
2020-01-02,Maryland,307
2020-01-02,Maine,44
2020-01-02,Michigan,582
2020-01-02,Minnesota,428
2020-01-02,Missouri,383
2020-01-02,Mississippi,42
2020-01-02,Montana,100
2020-01-02,North Carolina,1058
2020-01-02,North Dakota,63
2020-01-02,Nebraska,93
2020-01-02,New Hampshire,27
2020-01-02,New Jersey,460
2020-01-02,New Mexico,90
2020-01-02,Nevada,528
2020-01-02,New York,1035
2020-01-02,Ohio,343
2020-01-02,Oklahoma,129
2020-01-02,Oregon,317
2020-01-02,Pennsylvania,623
2020-01-02,Puerto Rico,105
2020-01-02,Rhode Island,52
2020-01-02,South Carolina,184
2020-01-02,South Dakota,47
2020-01-02,Tennessee,393
2020-01-02,Pacific Trust Territories and Possessions,6
2020-01-02,Texas,2269
2020-01-02,Utah,361
2020-01-02,Virginia,831
2020-01-02,Virgin Islands,19
2020-01-02,Vermont,31
2020-01-02,Washington,665
2020-01-02,Wisconsin,190
2020-01-02,West Virginia,21
2020-01-02,Wyoming,38
2020-01-03,Alaska,104
2020-01-03,Alabama,108
2020-01-03,Arkansas,83
2020-01-03,Arizona,642
2020-01-03,California,2513
2020-01-03,Colorado,968
2020-01-03,Connecticut,78
