Code,Name,number_of_flights_departing
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",255350
ORD,"Chicago, IL: Chicago O'Hare International",226384
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",225797
DEN,"Denver, CO: Denver International",205552
CLT,"Charlotte, NC: Charlotte Douglas International",186070
SEA,"Seattle, WA: Seattle/Tacoma International",133324
LAX,"Los Angeles, CA: Los Angeles International",132515
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",123701
LAS,"Las Vegas, NV: McCarran International",114242
DTW,"Detroit, MI: Detroit Metro Wayne County",111328
IAH,"Houston, TX: George Bush Intercontinental/Houston",105688
MSP,"Minneapolis, MN: Minneapolis-St Paul International",100324
MCO,"Orlando, FL: Orlando International",96058
SLC,"Salt Lake City, UT: Salt Lake City International",92788
SFO,"San Francisco, CA: San Francisco International",92024
PHL,"Philadelphia, PA: Philadelphia International",89909
EWR,"Newark, NJ: Newark Liberty International",78001
BOS,"Boston, MA: Logan International",74851
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",71974
LGA,"New York, NY: LaGuardia",69004
DCA,"Washington, DC: Ronald Reagan Washington National",68174
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",64459
MDW,"Chicago, IL: Chicago Midway International",60365
BNA,"Nashville, TN: Nashville International",59417
IAD,"Washington, DC: Washington Dulles International",57226
JFK,"New York, NY: John F. Kennedy International",57102
MIA,"Miami, FL: Miami International",56815
SAN,"San Diego, CA: San Diego International",56726
DAL,"Dallas, TX: Dallas Love Field",53082
TPA,"Tampa, FL: Tampa International",52332
PDX,"Portland, OR: Portland International",50509
STL,"St. Louis, MO: St Louis Lambert International",48101
HOU,"Houston, TX: William P Hobby",42607
AUS,"Austin, TX: Austin - Bergstrom International",39302
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",36856
SMF,"Sacramento, CA: Sacramento International",35988
RDU,"Raleigh/Durham, NC: Raleigh-Durham International",34575
HNL,"Honolulu, HI: Daniel K Inouye International",33381
MCI,"Kansas City, MO: Kansas City International",33211
MSY,"New Orleans, LA: Louis Armstrong New Orleans International",33027
OAK,"Oakland, CA: Metropolitan Oakland International",31708
IND,"Indianapolis, IN: Indianapolis International",31668
RSW,"Fort Myers, FL: Southwest Florida International",29875
PIT,"Pittsburgh, PA: Pittsburgh International",29253
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",29180
CLE,"Cleveland, OH: Cleveland-Hopkins International",28812
CMH,"Columbus, OH: John Glenn Columbus International",28311
SNA,"Santa Ana, CA: John Wayne Airport-Orange County",25569
SAT,"San Antonio, TX: San Antonio International",24029
MKE,"Milwaukee, WI: General Mitchell International",21595
SJU,"San Juan, PR: Luis Munoz Marin International",20231
BOI,"Boise, ID: Boise Air Terminal",19212
JAX,"Jacksonville, FL: Jacksonville International",18490
BUR,"Burbank, CA: Bob Hope",17782
OMA,"Omaha, NE: Eppley Airfield",17582
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",16885
GEG,"Spokane, WA: Spokane International",16727
BDL,"Hartford, CT: Bradley International",16670
OKC,"Oklahoma City, OK: Will Rogers World",16590
SDF,"Louisville, KY: Louisville Muhammad Ali International",16540
MEM,"Memphis, TN: Memphis International",16480
ONT,"Ontario, CA: Ontario International",16449
CHS,"Charleston, SC: Charleston AFB/International",16432
ABQ,"Albuquerque, NM: Albuquerque International Sunport",15786
RIC,"Richmond, VA: Richmond International",15335
ORF,"Norfolk, VA: Norfolk International",15069
BUF,"Buffalo, NY: Buffalo Niagara International",14791
RNO,"Reno, NV: Reno/Tahoe International",14764
