date,flights_per_day
2020-03-20,23956
2020-03-19,23936
2020-03-13,23863
2020-03-16,23832
2020-03-12,23787
2020-03-23,23755
2020-03-09,23479
2020-03-18,23382
2020-03-06,23298
2020-03-05,23191
2020-03-17,23155
2020-03-22,23144
2020-02-28,23117
2020-03-26,23108
2020-02-21,23095
2020-03-15,23093
2020-02-27,23090
2020-02-14,23081
2020-02-20,23068
2020-03-02,23067
2020-02-24,23050
2020-03-11,23024
2020-02-13,22977
2020-03-27,22903
2020-03-24,22881
2020-03-25,22784
2020-02-17,22778
2020-01-06,22764
2020-03-10,22701
2020-01-10,22617
2020-02-07,22594
2020-01-31,22590
2020-01-09,22587
2020-01-17,22579
2020-03-08,22578
2020-01-24,22576
2020-01-16,22552
2020-02-06,22551
2020-01-30,22540
2020-01-23,22537
2020-03-04,22478
2020-01-03,22475
2020-01-05,22468
2020-01-02,22467
2020-02-03,22442
2020-02-26,22432
2020-02-10,22431
2020-02-19,22417
2020-01-27,22393
2020-01-13,22392
2020-03-30,22370
2020-02-18,22219
2020-03-01,22216
2020-02-23,22187
2020-02-25,22161
2020-03-03,22152
2020-03-29,22083
2020-01-20,22020
2020-02-09,21649
2020-02-12,21620
2020-01-12,21610
2020-01-26,21603
2020-02-05,21450
2020-01-08,21418
2020-01-15,21406
2020-01-29,21403
2020-01-22,21399
2020-03-31,21119
2020-02-11,20899
2020-01-07,20887
2020-02-04,20867
2020-01-14,20866
2020-01-21,20864
2020-01-28,20850
2020-02-16,20558
2020-02-02,20413
2020-03-21,20393
2020-03-14,20269
2020-01-04,19880
2020-01-01,19682
2020-03-28,19650
2020-03-07,19627
2020-01-19,19589
2020-02-22,18634
2020-02-29,18633
2020-02-15,18171
2020-04-01,17931
2020-01-11,17429
2020-04-02,17415
2020-02-08,17390
2020-01-25,17362
2020-04-03,17273
2020-02-01,17129
2020-01-18,16751
2020-04-06,16214
2020-11-29,16160
2020-04-05,16148
2020-11-30,15490
2020-12-27,15380
2020-11-28,15366
2020-12-23,15310
2020-11-25,15039
2020-12-20,14903
2020-12-19,14883
2020-11-22,14863
2020-12-26,14851
2020-12-28,14824
2020-12-21,14824
2020-12-30,14809
2020-11-24,14786
2020-12-18,14775
2020-11-20,14739
2020-12-22,14598
2020-12-29,14500
2020-04-04,14435
2020-11-21,14179
2020-12-17,14155
2020-11-15,14098
